,u0,t0,te,phi,q,d
26,0.760066460799,516.802812334,18.3296217262,199.312683771,0.0311561086105,0.555002632511
27,0.76186744004,516.914134401,15.9272570663,180.386017751,0.0283807261349,0.558879582569
28,0.718663646347,521.429731193,21.7114199909,217.141592751,0.0265526011641,0.771284448594
29,0.747859036961,510.611204857,27.9081613848,223.936510721,0.0186866663695,0.801943392635
30,0.727647106816,513.875949499,27.5014688829,184.795561555,0.0242004918104,0.851982858693
31,0.702507575774,513.25161099,26.2152368375,201.596877241,0.0335427665555,0.886145238795
32,0.659522161164,514.406415204,25.5120815413,199.795196946,0.0293064274278,0.867879193536
33,0.641949092256,503.98021395,25.4866935461,280.393544741,0.0276271760749,0.90383459558
34,0.731474478958,521.278051065,25.8039294618,312.908232958,0.0309066494801,0.814449027294
35,0.556245871803,529.998180153,27.1140338682,340.007756796,0.0310083739132,0.899263182506
36,0.3988272385,520.131911284,31.3788970357,332.108384403,0.0309875996699,0.911413868042
37,0.363521840661,536.122706512,31.4938185784,343.116594336,0.0336638319551,0.93121558472
38,0.333036847647,538.420842688,30.1093622386,338.762145748,0.0247194779476,0.927333547998
39,0.365813185112,548.62704349,36.4343759731,332.463687721,0.0251119560693,0.958603040426
40,0.364121607313,553.729679861,43.4379262449,332.007056752,0.0297363570659,0.963023611195
41,0.413743260419,541.613488932,47.6559887458,359.634305653,0.0187530026379,0.961385315532
42,0.375036887095,542.436145185,44.4933932443,345.665151148,0.0177663241605,0.914886378253
43,0.303917471402,550.850179559,39.5312970171,342.818142388,0.00629532390431,0.962126213553
44,0.313390896655,544.977548474,47.1815496293,298.961105052,0.0070228938011,0.981347396607
45,0.304437524191,536.741330684,43.158072502,246.038240763,0.00406258762065,0.881908124782
46,0.375286338553,540.022568162,46.364569538,254.152579305,0.00894435672805,0.923606792072
47,0.343554324235,543.489415349,50.3216253474,236.282670896,0.00990781483542,0.834235611385
48,0.386224907063,537.688575542,36.9482233867,247.733098862,0.0110659715674,0.821939080086
49,0.40292981932,538.457888013,37.7657568192,253.102452672,0.0101423354787,0.741454754938
